match_id,date,phase,round,home_code,home_name,away_code,away_name,num_sets_recorded,n_scout_lines,n_decoded_actions
rs06_brescia-talmassons_brescia,"0    05/11/2025
Name: day, dtype: object",Regular Season,06,BRE,Valsabbina Millenium Brescia,TAL,CDA Volley Talmassons FVG,5,1769,1355
rs07_futura-brescia_brescia,"0    09/11/2025
Name: day, dtype: object",Regular Season,07,BRE,Valsabbina Millenium Brescia,FUT,Futura Giovani Busto Arsizio,5,1878,1448
rs07_padova-talmassons_brescia,"0    09/11/2025
Name: day, dtype: object",Regular Season,07,FRA,Nuvolě Altafratte Padova,TAL,CDA Volley Talmassons FVG,5,1499,1108
rs08_brescia-imola_brescia,"0    16/11/2025
Name: day, dtype: object",Regular Season,08,BRE,Valsabbina Millenium Brescia,IMO,CLAI Imola Volley,5,2057,1545
rs08_talmassons-fasano_brescia,"0    16/11/2025
Name: day, dtype: object",Regular Season,08,TAL,CDA Volley Talmassons FVG,FAS,Olio Pantaleo Volley Fasano,5,1215,908
rs09_padova-brescia_brescia,"0    23/11/2025
Name: day, dtype: object",Regular Season,09,BRE,Valsabbina Millenium Brescia,FRA,NuvolÏ Altafratte Padova,5,1644,1211
rs09_talmassons-altino_brescia,"0    23/11/2025
Name: day, dtype: object",Regular Season,09,TAL,CDA Volley Talmassons FVG,ALT,Tenaglia Abruzzo Altino Volley,5,1111,805
rs10_fasano-brescia_brescia,"0    30/11/2025
Name: day, dtype: object",Regular Season,10,BRE,Valsabbina Millenium Brescia,FAS,Olio Pantaleo Volley Fasano,5,2055,1579
rs10_modena-talmassons_brescia,"0    30/11/2025
Name: day, dtype: object",Regular Season,10,MOE,Volley Modena,TAL,CDA Volley Talmassons FVG,5,1450,1043
rs11_altamura-talmassons_brescia,"0    05/12/2025
Name: day, dtype: object",Regular Season,11,LEN,Panbiscň Leonessa Altamura,TAL,CDA Volley Talmassons FVG,5,2165,1623
rs11_brescia-modena_brescia,"0    06/12/2025
Name: day, dtype: object",Regular Season,11,BRE,Valsabbina Millenium Brescia,MOE,Volley Modena,5,1025,750
rs12_brescia-altino_brescia,"0    10/12/2025
Name: day, dtype: object",Regular Season,12,BRE,Valsabbina Millenium Brescia,ALT,Tenaglia Abruzzo Altino Volley,5,1389,1069
rs12_talmassons-offanengo_brescia,"0    10/12/2025
Name: day, dtype: object",Regular Season,12,TAL,CDA Volley Talmassons FVG,OFF,Trasporti Bressan Offanengo,5,1643,1215
rs13_altamura-brescia_brescia,"0    14/12/2025
Name: day, dtype: object",Regular Season,13,BRE,Valsabbina Millenium Brescia,LEN,PanbiscÚ Leonessa Altamura,5,2125,1614
rs13_imola-talmassons_brescia,"0    14/12/2025
Name: day, dtype: object",Regular Season,13,IMO,CLAI Imola Volley,TAL,CDA Volley Talmassons FVG,5,1114,800
rs14_brescia-offanengo_brescia,"0    21/12/2025
Name: day, dtype: object",Regular Season,14,BRE,Valsabbina Millenium Brescia,OFF,Trasporti Bressan Offanengo,5,1300,991
rs14_futura-talmassons_brescia,"0    21/12/2025
Name: day, dtype: object",Regular Season,14,FUT,Futura Giovani Busto Arsizio,TAL,CDA Volley Talmassons FVG,5,1170,869
rs15_talmassons-brescia_brescia,"0    27/12/2025
Name: day, dtype: object",Regular Season,15,BRE,Valsabbina Millenium Brescia,TAL,CDA Volley Talmassons FVG,5,1559,1183
rs16_brescia-futura_brescia,"0    04/01/2026
Name: day, dtype: object",Regular Season,16,BRE,Valsabbina Millenium Brescia,FUT,Futura Giovani Busto Arsizio,5,1233,918
rs16_talmassons-padova_brescia,"0    04/01/2026
Name: day, dtype: object",Regular Season,16,TAL,CDA Volley Talmassons FVG,FRA,Nuvolě Altafratte Padova,5,1584,1177
rs17_imola-brescia_brescia,"0    11/01/2026
Name: day, dtype: object",Regular Season,17,BRE,Valsabbina Millenium Brescia,IMO,CLAI Imola Volley,5,1269,964
rs18_brescia-padova_brescia,"0    18/01/2026
Name: day, dtype: object",Regular Season,18,BRE,Valsabbina Millenium Brescia,FRA,Nuvolě Altafratte Padova,5,1184,883
